<http://purl.org/phenoscape/uuid/0fa73a76-e113-4d5c-8b95-ba450bf657ad>	"0.5103698665557886"^^<http://www.w3.org/2001/XMLSchema#double>	<http://www.ncbi.nlm.nih.gov/gene/3858>	"KRT10"^^<http://www.w3.org/2001/XMLSchema#string>	<http://purl.obolibrary.org/obo/VTO_0034991>	"Siluriformes"^^<http://www.w3.org/2001/XMLSchema#string>
<http://purl.org/phenoscape/uuid/ffa731c1-970d-40d4-90f1-c622f1000179>	"0.06258533725369518"^^<http://www.w3.org/2001/XMLSchema#double>	<http://zfin.org/ZDB-GENE-070117-344>	"unm_m742"^^<http://www.w3.org/2001/XMLSchema#string>	<http://purl.obolibrary.org/obo/VTO_0052581>	"Psednos"^^<http://www.w3.org/2001/XMLSchema#string>
<http://purl.org/phenoscape/uuid/8d302845-350b-42b1-879b-1349871a3e91>	"0.12715494426192991"^^<http://www.w3.org/2001/XMLSchema#double>	<http://www.informatics.jax.org/marker/MGI:1932466>	"Klb"^^<http://www.w3.org/2001/XMLSchema#string>	<http://purl.obolibrary.org/obo/VTO_0052585>	"Paraliparis"^^<http://www.w3.org/2001/XMLSchema#string>
<http://purl.org/phenoscape/uuid/8d302845-350b-42b1-879b-1349871a3e91>	"0.12715494426192991"^^<http://www.w3.org/2001/XMLSchema#double>	<http://www.informatics.jax.org/marker/MGI:1932466>	"Klb"^^<http://www.w3.org/2001/XMLSchema#string>	<http://purl.obolibrary.org/obo/VTO_0052585>	"Paraliparis"^^<http://www.w3.org/2001/XMLSchema#string>
<http://purl.org/phenoscape/uuid/70dd3fa4-3cde-40f2-8ed6-799f92b17077>	"0.18706485014751498"^^<http://www.w3.org/2001/XMLSchema#double>	<http://www.informatics.jax.org/marker/MGI:95553>	"Flg"^^<http://www.w3.org/2001/XMLSchema#string>	<http://purl.obolibrary.org/obo/VTO_0041431>	"Hypentelium"^^<http://www.w3.org/2001/XMLSchema#string>
<http://purl.org/phenoscape/uuid/f31fb4b9-b064-448b-8e58-3f644d7629e7>	"0.01391734794802006"^^<http://www.w3.org/2001/XMLSchema#double>	<http://www.ncbi.nlm.nih.gov/gene/3209>	"HOXA13"^^<http://www.w3.org/2001/XMLSchema#string>	<http://purl.obolibrary.org/obo/VTO_0062285>	"Orthrias"^^<http://www.w3.org/2001/XMLSchema#string>
<http://purl.org/phenoscape/uuid/ff47f71b-50fc-4906-9d1e-bc896eafe49c>	"0.10378078359964121"^^<http://www.w3.org/2001/XMLSchema#double>	<http://zfin.org/ZDB-GENE-040426-2213>	"rcc2"^^<http://www.w3.org/2001/XMLSchema#string>	<http://purl.obolibrary.org/obo/VTO_9005686>	"Trematopidae"^^<http://www.w3.org/2001/XMLSchema#string>
<http://purl.org/phenoscape/uuid/01f7b925-8153-4c73-b94b-c8779aab35c6>	"0.07500496128175987"^^<http://www.w3.org/2001/XMLSchema#double>	<http://www.informatics.jax.org/marker/MGI:2448492>	"Kdm6b"^^<http://www.w3.org/2001/XMLSchema#string>	<http://purl.obolibrary.org/obo/VTO_9008111>	"Odontoholomorphae"^^<http://www.w3.org/2001/XMLSchema#string>
<http://purl.org/phenoscape/uuid/70b86b59-fce9-4986-a257-5531ad309cf8>	"0.10775878416808246"^^<http://www.w3.org/2001/XMLSchema#double>	<http://www.ncbi.nlm.nih.gov/gene/10491>	"CRTAP"^^<http://www.w3.org/2001/XMLSchema#string>	<http://purl.obolibrary.org/obo/VTO_0038468>	"Curimatidae"^^<http://www.w3.org/2001/XMLSchema#string>
<http://purl.org/phenoscape/uuid/a122cbb0-fb8e-481a-a54c-e5ffac4345c0>	"0.0617105556277457"^^<http://www.w3.org/2001/XMLSchema#double>	<http://zfin.org/ZDB-GENE-070117-37>	"reck"^^<http://www.w3.org/2001/XMLSchema#string>	<http://purl.obolibrary.org/obo/VTO_9022400>"Pelycosauria"^^<http://www.w3.org/2001/XMLSchema#string>
